crumbled bacon	raisins
mayonnaise	yellow mustard
fresh lemon juice	sea salt flakes
apple cider vinegar	sugar substitute
lime	red kidney beans
lemon	wheat
green onions	hearts of romaine
cumin	jicama
buttermilk	cultured buttermilk
chopped fresh chives	mustard powder
cage free eggs	paprika
hard boiled egg	sea salt
paleo mayonnaise	tuna packed in water
black pepper	vinaigrette
black pepper	herb dressing
cashew nuts	lemon juice
buttermilk	white vinegar
pasta	salt
bacon grease	red wine vinegar
cucumber	freshly ground pepper
curry powder	salt and ground black pepper
lemon zest	vegetable oil
frozen peas	kraft mayonnaise
cayenne	lime
cherry tomatoes	grated parmesan cheese
baguette	purple onion
ground cumin	white vinegar
crumbled ricotta salata cheese	fresh herbs
bulgar	hothouse cucumber
arugula	pomegranate seeds
black beans	fresh corn
chopped fresh cilantro	shredded cheddar cheese
sesame oil	toasted sesame seeds
poppy seed dressing	zucchini
chopped cilantro	seedless red grapes
extra virgin olive oil	gluten free bread
chopped fresh mint	shallots
basil leaves	kosher salt
fresh parsley leaves	granulated sugar
fresh chives	tomatoes
balsamic vinegar	cooked bacon
english cucumber	reduced sodium soy sauce
diced onions	light mayonnaise
fresh asparagus	honey
crushed garlic	mayonnaise
granulated white sugar	relish
corn	salsa
salt	seedless cucumber
hard boiled egg	nuts
baby arugula	grated parmesan cheese
shredded carrots	sweet relish
sea salt	whole wheat pita pockets
raw honey	shredded carrots
ground black pepper	vegetable stock
baby arugula	cracked black pepper
olive oil	sugar
extra virgin olive oil	lemon juice
apple cider vinegar	dried thyme
asparagus	frozen shelled edamame
oregano	salt
red apples	salt
dried cranberries	lime
coarse salt	cucumber
mint leaves	onions
heavy cream	worcestershire sauce
garlic cloves	green bell pepper
bbq sauce	lime juice
corn kernels	lemon
pepper	small yellow onion
dried dillweed	light mayonnaise
lemon juice	shaved parmesan cheese
mandarin orange segments	white sugar
black radish	wheat berries
apples	balsamic vinegar
slaw mix	sunflower seeds
cracked black pepper	romaine lettuce
